ID,ADDITIONAL_DESCRIPTION
818684,"<h5>Specifications</h5><table class=""description-table""><tr><th>BD TORQUE</th><td>270</td></tr><tr><th>BD Torque</th><td>270</td></tr><tr><th>F. L. Amps</th><td>378. 5</td></tr><tr><th>F. L. Eff. </th><td>270</td></tr><tr><th>Frame Type</th><td>NC58</td></tr><tr><th>Mult. Sym. </th><td>M4</td></tr><tr><th>Notes</th><td>1, 4, 6, 7</td></tr><tr><th>Weight</th><td>4896 lbs</td></tr></table><h5>Description</h5><p>Meets or exceeds NEMA Premium Efficiency Requirements defined by NEMA MG-1, . Table 12-12. Class I, Div II Groups ABCD, T2B Suitable for wye-delta start on 213T frame and above. Dual voltage ratings suitable for part wind start on lower voltage. Single voltage ratings suitable for part wind start at 460V are noted 1. 15. Service Factor @ 60 hertz; 1. 0. Service Factor @ 50 hertz. Suitable for 575V @ 1. 0. Service Factor Inverter Duty (20: 1 variable torque; 10: 1 constant torque). Vacuum Pressure Impregnation for all windings. Sealed bearings thru 215T frame Mechanical “V” Seal on drive end. Class F insulation system, class B rise at full load 40° C ambient continuous duty. Corrosion resistant paint. Greasable bearings 254T frame and above Stainless steel nameplate and zinc plated hardware F1/F2 reversible. Feet are dual drilled on most frames for mounting flexibility. Cast iron frame construction including the conduit box. C-Flange and D-Flange field conversion kits available. Lifting provisions on 143T frame. Condensation drains with plastic plugs. IP55 Protection – Terminal box is sealed for IP66 protection CSA + C + US Certification. ISO 9001 Certification</p>"
818663,"<h5>Specifications</h5><table class=""description-table""><tr><th>BD TORQUE</th><td>254</td></tr><tr><th>BD Torque</th><td>254</td></tr><tr><th>F. L. Amps</th><td>322. 3</td></tr><tr><th>F. L. Eff. </th><td>254</td></tr><tr><th>Frame Type</th><td>NC58</td></tr><tr><th>Mult. Sym. </th><td>M4</td></tr><tr><th>Notes</th><td>2, 4, 6, 7</td></tr><tr><th>Weight</th><td>4662 lbs</td></tr></table><h5>Description</h5><p>Meets or exceeds EISA Efficiency Requirements. Class I, Div II Groups ABCD, T2B Suitable for wye-delta start on 213T frame and above. Dual voltage ratings suitable for part wind start on lower voltage. Single voltage ratings suitable for part wind start at 460V are noted 1. 15. Service Factor @ 60 hertz; 1. 0. Service Factor @ 50 hertz. Suitable for 575V @ 1. 0. Service Factor Inverter Duty (20: 1 variable torque; 10: 1 constant torque). Vacuum Pressure Impregnation for all windings. Sealed bearings thru 215T frame Greasable bearings 254T frame and above. Mechanical “V” Seal on drive end. Class F insulation system, class B rise at full load 40° C ambient continuous duty. Corrosion resistant paint Stainless steel nameplate and zinc plated hardware F1/F2 reversible. Feet are dual drilled on most frames for mounting flexibility. Cast iron frame construction including the conduit box C-Face and D-Flange field conversion kits available. Lifting provisions on 143T frame and above. Condensation drains with plastic plugs. IP55 Protection – Terminal box is sealed for IP66 protection CSA + C + US Certification. ISO 9001 Certification Notes 1. ) NEMA Premium (NEMA MG-1 Table 12-12) 2. ) EISA Compliant (NEMA MG-1 Table 12-11) 3. ) Inverter Duty (20: 1 Variable Torque; 10: 1 Constant Torque) 4. ) Inverter Rated (10: 1 Variable Torque; 5: 1 Constant Torque) 5. ) Partwind Start Capable at 230V 6. ) Partwind Start Capable at 460V 7. ) Equipped with Terminal Blocks as Standard</p>"
693044,"<h5>Specifications</h5><table class=""description-table""><tr><th>F. L. Amps</th><td>1. 85</td></tr><tr><th>F. L. Eff. </th><td>80</td></tr><tr><th>Frame Type</th><td>NESS</td></tr><tr><th>Mult. Sym. </th><td>M18</td></tr><tr><th>Notes</th><td>1</td></tr><tr><th>Weight</th><td>41 lbs</td></tr></table><h5>Description</h5><p>High Efficiency Design All Stainless Steel Construction IP66 Protections as standard Inverter Duty (20: 1 VT; 10: 1 CT). Vacuum Pressure Impregnation for all windings. Double sealed bearings in both ends. Class F insulation system, class B rise at full load 50 / 60 Hz @ 1. 15. Service Factor NEMA Design B performance. High starting torques 40° C ambient continuous duty C-Flange as standard Meets or exceeds NRCan efficiency requirements ISO 9001 Certification CSA + C + US Certification UL Listed Notes Meets NEMA MG-1, . Table 12-11 Efficiency Requirements as Mandated by the Energy Independence and Security Act. Meets MEMA MG-1, . Table 12-12 Efficiency Requirements as Mandated by the Energy Independence and Security Act. </p>"
818656,"<h5>Specifications</h5><table class=""description-table""><tr><th>BD TORQUE</th><td>265</td></tr><tr><th>BD Torque</th><td>247</td></tr><tr><th>F. L. Amps</th><td>332</td></tr><tr><th>F. L. Eff. </th><td>247</td></tr><tr><th>Frame Type</th><td>NC58</td></tr><tr><th>Mult. Sym. </th><td>M4</td></tr><tr><th>Notes</th><td>2, 4, 6, 7</td></tr><tr><th>Weight</th><td>5384 lbs</td></tr></table><h5>Description</h5><p>Meets or exceeds EISA Efficiency Requirements. Class I, Div II Groups ABCD, T2B Suitable for wye-delta start on 213T frame and above. Dual voltage ratings suitable for part wind start on lower voltage. Single voltage ratings suitable for part wind start at 460V are noted 1. 15. Service Factor @ 60 hertz; 1. 0. Service Factor @ 50 hertz. Suitable for 575V @ 1. 0. Service Factor Inverter Duty (20: 1 variable torque; 10: 1 constant torque). Vacuum Pressure Impregnation for all windings. Sealed bearings thru 215T frame Greasable bearings 254T frame and above. Mechanical “V” Seal on drive end. Class F insulation system, class B rise at full load 40° C ambient continuous duty. Corrosion resistant paint Stainless steel nameplate and zinc plated hardware F1/F2 reversible. Feet are dual drilled on most frames for mounting flexibility. Cast iron frame construction including the conduit box C-Face and D-Flange field conversion kits available. Lifting provisions on 143T frame and above. Condensation drains with plastic plugs. IP55 Protection – Terminal box is sealed for IP66 protection CSA + C + US Certification. ISO 9001 Certification Notes 1. ) NEMA Premium (NEMA MG-1 Table 12-12) 2. ) EISA Compliant (NEMA MG-1 Table 12-11) 3. ) Inverter Duty (20: 1 Variable Torque; 10: 1 Constant Torque) 4. ) Inverter Rated (10: 1 Variable Torque; 5: 1 Constant Torque) 5. ) Partwind Start Capable at 230V 6. ) Partwind Start Capable at 460V 7. ) Equipped with Terminal Blocks as Standard</p>"
818576,"<h5>Specifications</h5><table class=""description-table""><tr><th>F. L. Eff. </th><td>84</td></tr><tr><th>Frame Type</th><td>NESS</td></tr><tr><th>Mult. Sym. </th><td>M18</td></tr><tr><th>Notes</th><td>1</td></tr><tr><th>Weight</th><td>36 lbs</td></tr></table><h5>Description</h5><p>High Efficiency Design All Stainless Steel Construction IP66 Protections as standard Inverter Duty (20: 1 VT; 10: 1 CT). Vacuum Pressure Impregnation for all windings. Double sealed bearings in both ends. Class F insulation system, class B rise at full load 50 / 60 Hz @ 1. 15. Service Factor NEMA Design B performance. High starting torques 40° C ambient continuous duty C-Flange as standard Meets or exceeds NRCan efficiency requirements ISO 9001 Certification CSA + C + US Certification UL Listed Notes Meets NEMA MG-1, . Table 12-11 Efficiency Requirements as Mandated by the Energy Independence and Security Act. Meets MEMA MG-1, . Table 12-12 Efficiency Requirements as Mandated by the Energy Independence and Security Act. </p>"
818747,"<h5>Specifications</h5><table class=""description-table""><tr><th>BD Torque</th><td>300</td></tr><tr><th>F. L. Amps</th><td>7. 9</td></tr><tr><th>Mult. Sym. </th><td>M12</td></tr><tr><th>Notes</th><td>1, 3, 5</td></tr><tr><th>Weight</th><td>218 lbs</td></tr></table><h5>Description</h5><p>Meets or exceeds NEMA Premium Efficiency Requirements defined by NEMA MG-1, . Table 12-12. Class I, Div II Groups ABCD, T2B Suitable for wye-delta start on 213T frame and above. Dual voltage ratings suitable for part wind start on lower voltage. Single voltage ratings suitable for part wind start at 460V are noted 1. 15. Service Factor @ 60 hertz; 1. 0. Service Factor @ 50 hertz. Suitable for 575V @ 1. 0. Service Factor Inverter Duty (20: 1 variable torque; 10: 1 constant torque). Vacuum Pressure Impregnation for all windings. Sealed bearings thru 215T frame Mechanical “V” Seal on drive end. Class F insulation system, class B rise at full load 40° C ambient continuous duty. Corrosion resistant paint. Greasable bearings 254T frame and above Stainless steel nameplate and zinc plated hardware F1/F2 reversible. Feet are dual drilled on most frames for mounting flexibility. Cast iron frame construction including the conduit box. C-Flange and D-Flange field conversion kits available. Lifting provisions on 143T frame. Condensation drains with plastic plugs. IP55 Protection – Terminal box is sealed for IP66 protection CSA + C + US Certification. ISO 9001 Certification</p>"
687404,"<h5>Specifications</h5><table class=""description-table""><tr><th>F. L. Amps</th><td>17</td></tr><tr><th>F. L. Eff. </th><td>91</td></tr><tr><th>Mult. Sym. </th><td>M16</td></tr><tr><th>Notes</th><td>1, 2, 3, 5</td></tr><tr><th>Weight</th><td>289 lbs</td></tr></table><h5>Description</h5><p>Meets or exceeds NEMA Premium Efficiency Requirements defined by NEMA MG-1, . Table 12-12. Class I, Div II Groups ABCD, T2B Suitable for wye-delta start on 213T frame and above. Dual voltage ratings suitable for part wind start on lower voltage. Single voltage ratings suitable for part wind start at 460V are noted 1. 15. Service Factor @ 60 hertz; 1. 0. Service Factor @ 50 hertz. Suitable for 575V @ 1. 0. Service Factor Inverter Duty (20: 1 variable torque; 10: 1 constant torque). Vacuum Pressure Impregnation for all windings. Sealed bearings thru 215T frame Greasable bearings 254T frame and above. Mechanical “V” Seal on drive end. Class F insulation system, class B rise at full load 40° C ambient continuous duty. Corrosion resistant paint Stainless steel nameplate and zinc plated hardware F1/F2 reversible. Feet are dual drilled on most frames for mounting flexibility. Cast iron frame construction including the conduit box. C-Flange and D-Flange field conversion kits available. Lifting provisions on 143T frame and above. Condensation drains with plastic plugs. IP55 Protection – Terminal box is sealed for IP66 protection CSA + C + US Certification. ISO 9001 Certification Notes NEMA Premium (NEMA MG-1 Table 12-12) Inverter Duty (20: 1 Variable Torque; 10: 1 Constant Torque) 12 Lead Partwind Start at 230V 12 Lead Partwind Start at 460V Ball Bearing on Drive End Insulated Bearing on Opposite Drive End Equipped with terminal blocks as standard Inverter Rated (10: 1 Variable Torque; 5: 1 Constant Torque)</p>"
818703,"<h5>Specifications</h5><table class=""description-table""><tr><th>BD TORQUE</th><td>252</td></tr><tr><th>BD Torque</th><td>252</td></tr><tr><th>F. L. Amps</th><td>434. 9</td></tr><tr><th>Frame Type</th><td>NC58</td></tr><tr><th>Mult. Sym. </th><td>M4</td></tr><tr><th>Notes</th><td>1, 4, 7, 8</td></tr><tr><th>Weight</th><td>5033 lbs</td></tr></table><h5>Description</h5><p>Meets or exceeds NEMA Premium Efficiency Requirements defined by NEMA MG-1, . Table 12-12. Class I, Div II Groups ABCD, T2B Suitable for wye-delta start on 213T frame and above. Dual voltage ratings suitable for part wind start on lower voltage. Single voltage ratings suitable for part wind start at 460V are noted 1. 15. Service Factor @ 60 hertz; 1. 0. Service Factor @ 50 hertz. Suitable for 575V @ 1. 0. Service Factor Inverter Duty (20: 1 variable torque; 10: 1 constant torque). Vacuum Pressure Impregnation for all windings. Sealed bearings thru 215T frame Mechanical “V” Seal on drive end. Class F insulation system, class B rise at full load 40° C ambient continuous duty. Corrosion resistant paint. Greasable bearings 254T frame and above Stainless steel nameplate and zinc plated hardware F1/F2 reversible. Feet are dual drilled on most frames for mounting flexibility. Cast iron frame construction including the conduit box. C-Flange and D-Flange field conversion kits available. Lifting provisions on 143T frame. Condensation drains with plastic plugs. IP55 Protection – Terminal box is sealed for IP66 protection CSA + C + US Certification. ISO 9001 Certification</p>"
818610,"<h5>Specifications</h5><table class=""description-table""><tr><th>BD TORQUE</th><td>263</td></tr><tr><th>BD Torque</th><td>263</td></tr><tr><th>F. L. Amps</th><td>281. 6</td></tr><tr><th>F. L. Eff. </th><td>263</td></tr><tr><th>Frame Type</th><td>NC58</td></tr><tr><th>Mult. Sym. </th><td>M4</td></tr><tr><th>Notes</th><td>2, 4, 6, 7</td></tr><tr><th>Weight</th><td>5216 lbs</td></tr></table><h5>Description</h5><p>Meets or exceeds EISA Efficiency Requirements. Class I, Div II Groups ABCD, T2B Suitable for wye-delta start on 213T frame and above. Dual voltage ratings suitable for part wind start on lower voltage. Single voltage ratings suitable for part wind start at 460V are noted 1. 15. Service Factor @ 60 hertz; 1. 0. Service Factor @ 50 hertz. Suitable for 575V @ 1. 0. Service Factor Inverter Duty (20: 1 variable torque; 10: 1 constant torque). Vacuum Pressure Impregnation for all windings. Sealed bearings thru 215T frame Greasable bearings 254T frame and above. Mechanical “V” Seal on drive end. Class F insulation system, class B rise at full load 40° C ambient continuous duty. Corrosion resistant paint Stainless steel nameplate and zinc plated hardware F1/F2 reversible. Feet are dual drilled on most frames for mounting flexibility. Cast iron frame construction including the conduit box C-Face and D-Flange field conversion kits available. Lifting provisions on 143T frame and above. Condensation drains with plastic plugs. IP55 Protection – Terminal box is sealed for IP66 protection CSA + C + US Certification. ISO 9001 Certification Notes 1. ) NEMA Premium (NEMA MG-1 Table 12-12) 2. ) EISA Compliant (NEMA MG-1 Table 12-11) 3. ) Inverter Duty (20: 1 Variable Torque; 10: 1 Constant Torque) 4. ) Inverter Rated (10: 1 Variable Torque; 5: 1 Constant Torque) 5. ) Partwind Start Capable at 230V 6. ) Partwind Start Capable at 460V 7. ) Equipped with Terminal Blocks as Standard</p>"
818749,"<h5>Specifications</h5><table class=""description-table""><tr><th>BD Torque</th><td>230</td></tr><tr><th>F. L. Amps</th><td>70</td></tr><tr><th>Frame Type</th><td>NEWT</td></tr><tr><th>Mult. Sym. </th><td>M12</td></tr><tr><th>Notes</th><td>1, 3, 5</td></tr><tr><th>Weight</th><td>1102 lbs</td></tr></table><h5>Description</h5><p>Meets or exceeds NEMA Premium Efficiency Requirements defined by NEMA MG-1, . Table 12-12. Class I, Div II Groups ABCD, T2B Suitable for wye-delta start on 213T frame and above. Dual voltage ratings suitable for part wind start on lower voltage. Single voltage ratings suitable for part wind start at 460V are noted 1. 15. Service Factor @ 60 hertz; 1. 0. Service Factor @ 50 hertz. Suitable for 575V @ 1. 0. Service Factor Inverter Duty (20: 1 variable torque; 10: 1 constant torque). Vacuum Pressure Impregnation for all windings. Sealed bearings thru 215T frame Mechanical “V” Seal on drive end. Class F insulation system, class B rise at full load 40° C ambient continuous duty. Corrosion resistant paint. Greasable bearings 254T frame and above Stainless steel nameplate and zinc plated hardware F1/F2 reversible. Feet are dual drilled on most frames for mounting flexibility. Cast iron frame construction including the conduit box. C-Flange and D-Flange field conversion kits available. Lifting provisions on 143T frame. Condensation drains with plastic plugs. IP55 Protection – Terminal box is sealed for IP66 protection CSA + C + US Certification. ISO 9001 Certification</p>"
